dimension del tablero;generaciones;mejor aptitud;evaluaciones;espacio explorado (%);tiempo de ejecución (seg)
22;288;-0,0;6336;5,637007026256683e-16;0,662916863
22;685;-0,0;15070;1,3407464628423013e-15;1,547484006
22;1724;-0,0;37928;3,3743750393286533e-15;3,889097607
22;3219;-0,0;70818;6,300529728305647e-15;7,246263323
22;1450;-0,0;31899;2,837987486277808e-15;3,26849233
22;772;-0,0;16983;1,510942082179881e-15;1,749605419
22;658;-0,0;14475;1,2878105540572205e-15;1,493723777
22;670;-0,0;14740;1,3113870512472145e-15;1,516476486
22;1436;-0,0;31592;2,810674336702985e-15;3,235322226
22;477;-0,0;10494;9,336292887237632e-16;1,087295579
23;2402;-0,0;55245;2,1369706107649213e-16;6,195284069
23;3651;-0,0;83972;3,248179855681998e-16;9,477726213
23;3054;-0,0;70241;2,717041409552699e-16;7,908585581
23;3416;-0,0;78568;3,0391439396611154e-16;8,765632712
23;710;-0,0;16329;6,316335071622844e-17;1,830914247
23;615;-0,0;14145;5,4715267063571024e-17;1,589304218
23;3188;-0,0;73324;2,8362970959132424e-16;8,225594364
23;2338;-0,0;53774;2,080069827554944e-16;6,019264348
23;7019;-0,0;161436;6,244619196659351e-16;18,427735548
23;1135;-0,0;26104;1,0097471413414337e-16;2,958532945
23;1203;-0,0;27669;1,070284004511804e-16;3,149874026
23;2129;-0,0;48967;1,894126887452727e-16;5,468533691
23;126;-0,0;2898;1,1209957154487722e-17;0,327437528
23;1500;-0,0;34500;1,3345187088675858e-16;3,876129088
23;868;-0,0;19964;7,722414928647097e-17;2,230635207
23;2856;-0,0;65687;2,5408849399821772e-16;7,409531783
23;1636;-0,0;37628;1,4555150718049136e-16;4,20351809
23;2485;-0,0;57155;2,2108526610239673e-16;6,366978589
23;1777;-0,0;40871;1,5809598304384668e-16;4,576184687
23;1865;-0,0;42894;1,6592129129903254e-16;4,780977673
24;1386;-0,0;33263;5,3611226827370184e-18;4,023422006
24;1295;-0,0;31080;5,009280370966736e-18;3,765996963
24;798;-0,0;19152;3,086799796163286e-18;2,322856721
24;2899;-0,0;69576;1,1213825324658354e-17;8,477732379
24;730;-0,0;17519;2,82360305080329e-18;2,132575847
24;891;-0,0;21383;3,44637844827483e-18;2,602266867
24;688;-0,0;16512;2,6613010773939106e-18;2,00037914
24;4089;-0,0;98136;1,5816947827708867e-17;11,887738382
24;1063;-0,0;25512;4,1118648913804175e-18;3,101757778
24;4503;-0,0;108071;1,741820910459286e-17;13,066220829
24;831;-0,0;19944;3,2144494117940985e-18;2,413420511
24;319;-0,0;7656;1,2339462844311883e-18;0,935790864
24;1751;-0,0;42023;6,7730047950172185e-18;5,106284863
24;696;-0,0;16704;2,6922464387589563e-18;2,037471331
24;2513;-0,0;60312;9,72071163879491e-18;7,352958223
24;3032;-0,0;72767;1,1728130783595125e-17;8,834590026
24;318;-0,0;7632;1,2300781142605576e-18;0,929838342
24;1616;-0,0;38783;6,250801821982076e-18;4,702574269
24;4423;-0,0;106152;1,7108916664699516e-17;13,07422333
24;2134;-0,0;51216;8,25467514412588e-18;6,18770887
25;341;-0,0;8524;5,495380422409325e-20;1,135495917
25;1538;-0,0;38450;2,47885238434583e-19;5,048449654
25;994;-0,0;24850;1,6020671456695416e-19;3,268588531
25;1777;-0,0;44425;2,864057663837802e-19;5,813510275
25;971;-0,0;24274;1,5649327120314871e-19;3,174424044
25;1265;-0,0;31625;2,0388480274365897e-19;4,141487625
25;2735;-0,0;68375;4,408102256947884e-19;8,972142729
25;1711;-0,0;42775;2,7576829841454584e-19;5,607121047
25;885;-0,0;22124;1,426323280917221e-19;2,906207613
25;2649;-0,0;66225;4,2694928258336173e-19;8,694002983
25;1872;-0,0;46799;3,01710826358909e-19;6,114466941
25;1849;-0,0;46225;2,9801027689567227e-19;6,056976383
25;1477;-0,0;36925;2,380536392508967e-19;4,911074159
25;2566;-0,0;64150;4,13571860743264e-19;8,373515386
25;2393;-0,0;59824;3,8568235381301675e-19;7,847383642
25;625;-0,0;15625;1,007335981935074e-19;2,063090921
25;1165;-0,0;29124;1,877609800824134e-19;3,83166965
25;1653;-0,0;41325;2,6642022050218837e-19;5,423000303
25;1410;-0,0;35249;2,272485505742683e-19;4,619410794
25;1244;-0,0;31099;2,0049370689407274e-19;4,114620899
