dimension del tablero;generaciones;mejor aptitud;evaluaciones;espacio explorado (%);tiempo de ejecución (seg)
21;3843;-0,0;80703;1,5795950626388648e-13;7,922886063
21;10000;-1,0;210000;4,110317623312165e-13;20,05322733
21;9154;-0,0;192234;3,7625847523799556e-13;18,307361698
21;6031;-0,0;126651;2,4789325586195665e-13;12,073276474
21;10000;-1,0;210000;4,110317623312165e-13;20,066733382
21;2275;-0,0;47775;9,350972593035174e-14;4,566281557
21;10000;-1,0;210000;4,110317623312165e-13;20,039157063
21;1815;-0,0;38115;7,460226486311579e-14;3,699006458
22;2994;-0,0;65868;5,860138554379343e-15;6,897785882
22;4191;-0,0;92202;8,203019599667277e-15;9,557731576
22;10000;-1,0;220000;1,9572941063391262e-14;22,847250222
22;4070;-0,0;89540;7,966187012800243e-15;9,361390517
22;10000;-1,0;220000;1,9572941063391262e-14;22,912081328
22;10000;-1,0;220000;1,9572941063391262e-14;23,392455799
22;639;-0,0;14058;1,2507109339507016e-15;1,470724949
22;5613;-0,0;123486;1,0986291818881515e-14;12,845917459
22;699;-0,0;15378;1,3681485803310492e-15;1,616511499
22;10000;-1,0;220000;1,9572941063391262e-14;22,962953943
22;10000;-1,0;220000;1,9572941063391262e-14;22,97372213
22;10000;-1,0;220000;1,9572941063391262e-14;23,510061932
22;7009;-0,0;154198;1,3718674391330935e-14;16,59065645
22;10000;-1,0;220000;1,9572941063391262e-14;26,028524801
22;2489;-0,0;54758;4,871705030678085e-15;8,273185912
22;5498;-0,0;120956;1,0761202996652515e-14;17,534418946
22;7691;-0,0;169202;1,505354897185422e-14;28,180252651
22;7447;-0,0;163834;1,457596920990747e-14;19,86157555
22;10000;-1,0;220000;1,9572941063391262e-14;36,583995305
22;10000;-1,0;220000;1,9572941063391262e-14;34,854105515
23;10000;-1,0;230000;8,896791392450572e-16;39,556775932
23;10000;-1,0;230000;8,896791392450572e-16;34,61601487
23;10000;-1,0;230000;8,896791392450572e-16;32,282622651
23;10000;-1,0;230000;8,896791392450572e-16;30,794097534
23;10000;-1,0;230000;8,896791392450572e-16;30,521661711
23;10000;-1,0;230000;8,896791392450572e-16;30,372804626
23;3639;-0,0;83697;3,2375423877127633e-16;11,135593685
23;10000;-1,0;230000;8,896791392450572e-16;30,212910314
23;10000;-1,0;230000;8,896791392450572e-16;30,285141784
23;8987;-0,0;206701;7,99554642439533e-16;27,509174114
23;10000;-1,0;230000;8,896791392450572e-16;35,469969412
23;10000;-1,0;230000;8,896791392450572e-16;37,266807381
23;10000;-1,0;230000;8,896791392450572e-16;34,407225208
23;5947;-0,0;136781;5,290921841090355e-16;19,95183573
23;9922;-0,0;228206;8,827396419589458e-16;33,848557055
23;5392;-0,0;124016;4,797149918809348e-16;18,093369459
23;2423;-0,0;55729;2,1556925543907737e-16;8,312602919
23;5641;-0,0;129743;5,018680024481368e-16;19,808315115
23;10000;-1,0;230000;8,896791392450572e-16;33,548806473
23;10000;-1,0;230000;8,896791392450572e-16;33,52440469
24;7119;-0,0;170856;2,7537503444719842e-17;23,56956858
24;10000;-1,0;240000;3,8681701706306843e-17;33,397535113
24;9964;-0,0;239136;3,854244758016414e-17;32,952289268
24;10000;-1,0;240000;3,8681701706306843e-17;33,189296286
24;10000;-1,0;240000;3,8681701706306843e-17;32,831693899
24;5763;-0,0;138312;2,2292264693344633e-17;19,187216675
24;10000;-1,0;240000;3,8681701706306843e-17;33,046677501
24;1937;-0,0;46488;7,492645620511635e-18;6,441921557
24;10000;-1,0;240000;3,8681701706306843e-17;32,895970487
24;10000;-1,0;240000;3,8681701706306843e-17;32,6561708
24;9332;-0,0;223968;3,6097764032325546e-17;30,800149334
24;6590;-0,0;158160;2,5491241424456208e-17;21,771458984
24;7684;-0,0;184416;2,972301959112618e-17;25,371739363
24;3088;-0,0;74112;1,1944909486907552e-17;10,135854859
24;10000;-1,0;240000;3,8681701706306843e-17;33,121345572
24;10000;-1,0;240000;3,8681701706306843e-17;33,215422654
24;10000;-1,0;240000;3,8681701706306843e-17;32,744577793
24;10000;-1,0;240000;3,8681701706306843e-17;32,740047533
24;7322;-0,0;175728;2,832274198935787e-17;24,072869236
24;10000;-1,0;240000;3,8681701706306843e-17;32,941102358
25;10000;-1,0;250000;1,6117375710961184e-18;37,263717251
25;5279;-0,0;131975;8,508362637816409e-19;19,980096121
25;370;-0,0;9250;5,963429013055638e-20;1,403107539
25;994;-0,0;24850;1,6020671456695416e-19;3,71495862
25;10000;-1,0;250000;1,6117375710961184e-18;38,6749068
25;6082;-0,0;152050;9,802587907406592e-19;22,393037938
25;10000;-1,0;250000;1,6117375710961184e-18;41,482784061
25;2135;-0,0;53375;3,4410597142902126e-19;8,229233857
25;2334;-0,0;58350;3,76179549093834e-19;8,858011987
25;10000;-1,0;250000;1,6117375710961184e-18;40,79606544
25;10000;-1,0;250000;1,6117375710961184e-18;34,360821251
25;10000;-1,0;250000;1,6117375710961184e-18;37,018178306
25;10000;-1,0;250000;1,6117375710961184e-18;38,104424672
25;3868;-0,0;96700;6,234200924999786e-19;14,790442198
25;3078;-0,0;76950;4,960928243833852e-19;11,920702766
25;9523;-0,0;238075;1,5348576889548336e-18;37,385759469
25;9936;-0,0;248400;1,6014224506411032e-18;41,195037742
25;9575;-0,0;239375;1,5432387243245333e-18;39,054659711
25;10000;-1,0;250000;1,6117375710961184e-18;39,435912205
25;10000;-1,0;250000;1,6117375710961184e-18;37,583457693
