dimension del tablero;generaciones;mejor aptitud;evaluaciones;espacio explorado (%);tiempo de ejecución (seg)
19;1065;-0,0;20219;1,662130240514973e-11;2,041809507
19;204;-0,0;3860;3,173165205196991e-12;0,39121209
19;357;-0,0;6766;5,562081807866022e-12;0,684170115
19;3479;-0,0;66085;5,4326068027316883e-11;6,672478959
19;294;-0,0;5569;4,578071768845089e-12;0,564839895
19;441;-0,0;8362;6,874095193227265e-12;0,844626999
19;397;-0,0;7526;6,18685008660947e-12;0,764454466
19;217;-0,0;4107;3,376214895788612e-12;0,422672147
20;2474;-0,0;49463;2,0330864060188962e-12;5,502427672
20;2673;-0,0;53443;2,19667704742672e-12;5,871741215
20;381;-0,0;7604;3,12548552076657e-13;0,840046183
20;1158;-0,0;23143;9,512508075631344e-13;2,578216548
20;1377;-0,0;27524;1,1313238226404403e-12;3,03150943
20;2887;-0,0;57724;2,3726397448807142e-12;6,420139305
20;4820;-0,0;96384;3,961688538053197e-12;10,74729642
20;877;-0,0;17524;7,202920603092238e-13;1,925923758
20;3714;-0,0;74263;3,052445176600313e-12;8,150944467
20;3073;-0,0;61443;2,5255024572916935e-12;6,729938304
20;1700;-0,0;33983;1,396809237930173e-12;3,776528038
20;558;-0,0;11144;4,580537959419077e-13;1,226980124
20;462;-0,0;9224;3,791356975743141e-13;1,020457883
20;1807;-0,0;36123;1,4847700350690533e-12;3,964597598
20;733;-0,0;14644;6,019149127578334e-13;1,615624831
20;620;-0,0;12384;5,090217344709785e-13;1,360816528
20;257;-0,0;5124;2,1061267501851534e-13;0,567636996
20;1489;-0,0;29764;1,2233949374026327e-12;3,269172194
20;980;-0,0;19583;8,049235001732212e-13;2,165768285
20;560;-0,0;11183;4,596568198149994e-13;1,232661961
21;5058;-0,0;106201;2,0786659138732153e-13;12,645271657
21;3501;-0,0;73504;1,4386894599235113e-13;8,729369855
21;3279;-0,0;68841;1,3474208357449178e-13;8,162423497
21;468;-0,0;9811;1,9203012477293166e-14;1,179624472
21;1818;-0,0;38161;7,46923003920074e-14;4,524408986
21;593;-0,0;12436;2,4340909506433373e-14;1,48142462
21;286;-0,0;5989;1,1722234402865026e-14;0,712824578
21;1608;-0,0;33751;6,606063338305185e-14;4,016547867
21;4100;-0,0;86082;1,6848779126188465e-13;10,225826438
21;776;-0,0;16278;3,1860833462988294e-14;1,936396189
21;967;-0,0;20289;3,971154012351453e-14;2,44171564
21;629;-0,0;13191;2,5818666556719412e-14;1,566574971
21;577;-0,0;12100;2,3683258686703428e-14;1,43752252
21;742;-0,0;15565;3,0465282765168496e-14;1,860664766
21;236;-0,0;4939;9,667075591208944e-15;0,591468011
21;391;-0,0;8193;1,603611061323646e-14;0,975915374
21;1315;-0,0;27598;5,40174027467472e-14;3,370650515
21;733;-0,0;15375;3,0093396884964063e-14;1,830051465
21;2452;-0,0;51474;1,0074975682970018e-13;6,112260882
21;555;-0,0;11638;2,277898880957475e-14;1,387452309
22;1119;-0,0;24599;2,1885217146289167e-15;3,16674703
22;554;-0,0;12169;1,0826505445473102e-15;1,63003693
22;696;-0,0;15293;1,3605863076474663e-15;1,981892894
22;1269;-0,0;27900;2,48220479849371e-15;3,579930683
22;2138;-0,0;47017;4,183004408988486e-15;6,06089734
22;1157;-0,0;25435;2,2628988906698032e-15;3,286357799
22;2410;-0,0;53002;4,7154773738266526e-15;6,837908518
22;236;-0,0;5173;4,602310187314682e-16;0,665897061
22;906;-0,0;19914;1,771707037892607e-15;2,572365363
22;3963;-0,0;87168;7,755155120971316e-15;11,168388604
22;2328;-0,0;51197;4,55489028919292e-15;6,573761724
22;968;-0,0;21277;1,8929703045717085e-15;2,72563146
22;804;-0,0;17669;1,5719740711320918e-15;2,268979061
22;722;-0,0;15865;1,4114759544122834e-15;2,063342871
22;1047;-0,0;23016;2,047685506886424e-15;2,947371453
22;447;-0,0;9816;8,733090430829483e-16;1,261715807
22;929;-0,0;20419;1,8166358344244824e-15;2,630221416
22;2254;-0,0;49570;4,410139493237749e-15;6,338269476
22;843;-0,0;18527;1,6483085412793176e-15;2,384075999
22;1679;-0,0;36919;3,284606414178827e-15;4,737912655
23;594;-0,0;13642;5,2769577467743787e-17;1,885717472
23;2538;-0,0;58354;2,2572320213698294e-16;8,035969201
23;6417;-0,0;147572;5,708336084203113e-16;20,530654681
23;1375;-0,0;31606;1,2225738641295339e-16;4,359488572
23;2011;-0,0;46233;1,788371114987684e-16;6,39878179
23;1225;-0,0;28155;1,089083311541069e-16;3,887846739
23;689;-0,0;15828;6,122539746074246e-17;2,20493282
23;1062;-0,0;24407;9,44104293545831e-17;3,534455987
23;2046;-0,0;47039;1,8195485665629674e-16;6,491454176
23;5964;-0,0;137153;5,305311434125102e-16;18,924910057
23;2782;-0,0;63967;2,4743524130473295e-16;8,868261875
23;1890;-0,0;43450;1,680719939139032e-16;6,035936402
23;809;-0,0;18587;7,189767896151252e-17;2,599862683
23;457;-0,0;10492;4,0584841430257134e-17;1,450670144
23;702;-0,0;16127;6,238198034176104e-17;2,232705508
23;2582;-0,0;59366;2,296377903496612e-16;8,180051156
23;1641;-0,0;37724;1,459228515168719e-16;5,202786612
23;1481;-0,0;34044;1,31687985288951e-16;4,721925899
23;1042;-0,0;23947;9,263107107609298e-17;3,341795653
23;1054;-0,0;24223;9,369868604318705e-17;3,380796573
